"","klasifikasi","score","text"
"1","Positif",1,"anjir ini kurir sicepat nganter nya pake burok cpt banget uedannnðð"
"2","Positif",0,"lowongan kerja pt sicepat ekspres indonesia lokasi jakarta"
"3","Negatif",-3,"lah jadi informasi pribadi gw  telp sama detail alamat dikemanain ama sicepat"
"4","Positif",1,"sicepat â silambat banget anjir â"
"5","Negatif",-1,"sicepat yg lambat"
"6","Negatif",-1,"ekspedisi mah jnt jne sicepat shopee express bukan nahan panas ððð"
"7","Positif",3,"kurir sicepat ngebut banget jemput paket baru juga muncul resi  menit kemudian dah permisiii untung udah siaga nulis nya ð"
"8","Positif",0,"ni sicepat pas rekrut kurirnya ada test drive dulu apa gmn ya kek cepet bgt anj racing semua kali kurirnya"
"9","Positif",3,"sicepat aneh bgt dah masa seller baru ngirim pagi ini terus skrg udh ada notif tu paket lg mau dianter ke rumah gue padahal  reguler kurir tu dimana mana ya kalo sendernya ngirim hari ini baru di proses malemnya terus minimal nyampe besok soree gt ya aneh bgt fix"
"10","Positif",0,"halo  sy ada kiriman sby  samarinda sejak  desember sampai sekarang sy belum menerima update tolong follow  nya"
"11","Positif",0,"cek dm admin "
"12","Negatif",-2,"ini jnt jne sicepat ga pernah dateng kalo di sett pickup tu kenapa hade"
"13","Positif",1,"hi  untuk pengantaran barang ke cust menggunakan gokil armada yg dipakai apa ya"
"14","Positif",2,"kurir sicepat reg datangnya cepat tapi slow respon slow banget"
"15","Negatif",-1,"bales dm saya ya "
"16","Negatif",-2,"hadeh  berulah lagi paket ga jalan"
"17","Positif",1,"heran sicepat  cepet bener tapi kdang notifnya suka aneh smoga paketq gpp yaa "
"18","Negatif",-1,"warning alertâ sahabat sicepat yang mimin cintai selalu waspada terhadap penipuan yang mengatasnamakan sicepat ekspres ya contohnya seperti situs web palsu berikut ini  âðððððððððððððððððððððððº ððð ððððððððððððððº"
"19","Positif",1,"gilaaa sicepat dari lampung ke jakarta sehari ð"
"20","Positif",0,"sicepat kok ngerið"
"21","Negatif",-2,"apapun klarifikasi   bukan pertama kali kasus model ini kejadian selain itu saya juga keseringan kecewa sama servisnya jadi kalau ada    ngapain masih pakai yg itu boikotjne"
"22","Negatif",-1,"lama lama kurirnya  juga nanya yg kirim agamanya apa trus yg dikirim agamanya apa jangan ditiru ya    boikotjne"
"23","Negatif",-3,"lama lama kalau mau kirim paket via   mungkin bukan ditanya lagi isinya apa tapi agamamu apa jangan ditiru ya    boikotjne"
"24","Positif",0,"sudah kubilang ngapain masih suka pakai   kalau ada      dll boikotjne"
"25","Negatif",-4,"belum pernah pakai sicepat berarti  kalo kirim barang paling aman dan cepat ya pakai jne gak ada yang secepat dan seaman jne ðð "
